"","cocktail_id","generation","cocktail_no","solution_component_no","concentration","units","name","ph"
"1","4f15c1c0eeaabc82340029fe",8,"C0001",1,3.56,"M","Ammonium bromide",8
"2","4f15c1c0eeaabc82340029fe",8,"C0001",2,0.1,"M","Tris",8
"3","4f15c1c0eeaabc82340029ff",8,"C0002",1,3.56,"M","Ammonium bromide",10
"4","4f15c1c0eeaabc82340029ff",8,"C0002",2,0.1,"M","CAPS",10
"5","4f15c1c0eeaabc8234002a00",8,"C0003",1,2.38,"M","Ammonium bromide",4.2
"6","4f15c1c0eeaabc8234002a00",8,"C0003",2,0.1,"M","Sodium citrate tribasic dihydrate",4.2
"7","4f15c1c0eeaabc8234002a01",8,"C0004",1,2.38,"M","Ammonium bromide",7.5
"8","4f15c1c0eeaabc8234002a01",8,"C0004",2,0.1,"M","HEPES",7.5
"9","4f15c1c0eeaabc8234002a02",8,"C0005",1,1.19,"M","Ammonium bromide",5
"10","4f15c1c0eeaabc8234002a02",8,"C0005",2,0.1,"M","Sodium acetate trihydrate",5
"11","4f15c1c0eeaabc8234002a03",8,"C0006",1,1.19,"M","Ammonium bromide",7
"12","4f15c1c0eeaabc8234002a03",8,"C0006",2,0.1,"M","Bis-Tris Propane",7
"13","4f15c1c0eeaabc8234002a04",8,"C0007",1,1.19,"M","Ammonium bromide",9
"14","4f15c1c0eeaabc8234002a04",8,"C0007",2,0.1,"M","TAPS",9
"15","4f15c1c0eeaabc8234002a05",8,"C0008",1,3.74,"M","Ammonium chloride",4.2
"16","4f15c1c0eeaabc8234002a05",8,"C0008",2,0.1,"M","Sodium citrate tribasic dihydrate",4.2
"17","4f15c1c0eeaabc8234002a06",8,"C0009",1,3.74,"M","Ammonium chloride",7
"18","4f15c1c0eeaabc8234002a06",8,"C0009",2,0.1,"M","Bis-Tris Propane",7
"19","4f15c1c0eeaabc8234002a07",8,"C0010",1,3.74,"M","Ammonium chloride",7.5
"20","4f15c1c0eeaabc8234002a07",8,"C0010",2,0.1,"M","HEPES",7.5
"21","4f15c1c0eeaabc8234002a08",8,"C0011",1,2.5,"M","Ammonium chloride",5
"22","4f15c1c0eeaabc8234002a08",8,"C0011",2,0.1,"M","Sodium acetate trihydrate",5
"23","4f15c1c0eeaabc8234002a09",8,"C0012",1,2.5,"M","Ammonium chloride",9
"24","4f15c1c0eeaabc8234002a09",8,"C0012",2,0.1,"M","TAPS",9
"25","4f15c1c0eeaabc8234002a0a",8,"C0013",1,2.5,"M","Ammonium chloride",10
"26","4f15c1c0eeaabc8234002a0a",8,"C0013",2,0.1,"M","CAPS",10
"27","4f15c1c0eeaabc8234002a0b",8,"C0014",1,1.25,"M","Ammonium chloride",6
"28","4f15c1c0eeaabc8234002a0b",8,"C0014",2,0.1,"M","MES monohydrate",6
"29","4f15c1c0eeaabc8234002a0c",8,"C0015",1,1.25,"M","Ammonium chloride",8
"30","4f15c1c0eeaabc8234002a0c",8,"C0015",2,0.1,"M","Tris",8
"31","4f15c1c0eeaabc8234002a0d",8,"C0016",1,6.46,"M","Ammonium nitrate",4.2
"32","4f15c1c0eeaabc8234002a0d",8,"C0016",2,0.1,"M","Sodium citrate tribasic dihydrate",4.2
"33","4f15c1c0eeaabc8234002a0e",8,"C0017",1,6.46,"M","Ammonium nitrate",9
"34","4f15c1c0eeaabc8234002a0e",8,"C0017",2,0.1,"M","TAPS",9
"35","4f15c1c0eeaabc8234002a0f",8,"C0018",1,6.46,"M","Ammonium nitrate",10
"36","4f15c1c0eeaabc8234002a0f",8,"C0018",2,0.1,"M","CAPS",10
"37","4f15c1c0eeaabc8234002a10",8,"C0019",1,3.23,"M","Ammonium nitrate",6
"38","4f15c1c0eeaabc8234002a10",8,"C0019",2,0.1,"M","MES monohydrate",6
"39","4f15c1c0eeaabc8234002a11",8,"C0020",1,3.23,"M","Ammonium nitrate",7
"40","4f15c1c0eeaabc8234002a11",8,"C0020",2,0.1,"M","Bis-Tris Propane",7
"41","4f15c1c0eeaabc8234002a12",8,"C0021",1,3.23,"M","Ammonium nitrate",8
"42","4f15c1c0eeaabc8234002a12",8,"C0021",2,0.1,"M","Tris",8
"43","4f15c1c0eeaabc8234002a13",8,"C0022",1,0.96,"M","Ammonium phosphate monobasic",8
"44","4f15c1c0eeaabc8234002a13",8,"C0022",2,0.1,"M","Tris",8
"45","4f15c1c0eeaabc8234002a14",8,"C0023",1,1.92,"M","Ammonium phosphate monobasic",4.2
"46","4f15c1c0eeaabc8234002a14",8,"C0023",2,0.1,"M","Sodium citrate tribasic dihydrate",4.2
"47","4f15c1c0eeaabc8234002a15",8,"C0024",1,1.92,"M","Ammonium phosphate monobasic",6
"48","4f15c1c0eeaabc8234002a15",8,"C0024",2,0.1,"M","MES monohydrate",6
"49","4f15c1c0eeaabc8234002a16",8,"C0025",1,1.92,"M","Ammonium phosphate monobasic",10
"50","4f15c1c0eeaabc8234002a16",8,"C0025",2,0.1,"M","CAPS",10
"51","4f15c1c0eeaabc8234002a17",8,"C0026",1,0.96,"M","Ammonium phosphate monobasic",5
"52","4f15c1c0eeaabc8234002a17",8,"C0026",2,0.1,"M","Sodium acetate trihydrate",5
"53","4f15c1c0eeaabc8234002a18",8,"C0027",1,0.96,"M","Ammonium phosphate monobasic",7
"54","4f15c1c0eeaabc8234002a18",8,"C0027",2,0.1,"M","Bis-Tris Propane",7
"55","4f15c1c0eeaabc8234002a19",8,"C0028",1,0.96,"M","Ammonium phosphate monobasic",9
"56","4f15c1c0eeaabc8234002a19",8,"C0028",2,0.1,"M","TAPS",9
"57","4f15c1c0eeaabc8234002a1a",8,"C0029",1,2.13,"M","Ammonium phosphate dibasic",7
"58","4f15c1c0eeaabc8234002a1a",8,"C0029",2,0.1,"M","Bis-Tris Propane",7
"59","4f15c1c0eeaabc8234002a1b",8,"C0030",1,3.2,"M","Ammonium phosphate dibasic",8
"60","4f15c1c0eeaabc8234002a1b",8,"C0030",2,0.1,"M","Tris",8
"61","4f15c1c0eeaabc8234002a1c",8,"C0031",1,3.2,"M","Ammonium phosphate dibasic",9
"62","4f15c1c0eeaabc8234002a1c",8,"C0031",2,0.1,"M","TAPS",9
"63","4f15c1c0eeaabc8234002a1d",8,"C0032",1,2.13,"M","Ammonium phosphate dibasic",6
"64","4f15c1c0eeaabc8234002a1d",8,"C0032",2,0.1,"M","MES monohydrate",6
"65","4f15c1c0eeaabc8234002a1e",8,"C0033",1,2.13,"M","Ammonium phosphate dibasic",7.5
"66","4f15c1c0eeaabc8234002a1e",8,"C0033",2,0.1,"M","HEPES",7.5
"67","4f15c1c0eeaabc8234002a1f",8,"C0034",1,1.07,"M","Ammonium phosphate dibasic",4.2
"68","4f15c1c0eeaabc8234002a1f",8,"C0034",2,0.1,"M","Sodium citrate tribasic dihydrate",4.2
"69","4f15c1c0eeaabc8234002a20",8,"C0035",1,1.07,"M","Ammonium phosphate dibasic",5
"70","4f15c1c0eeaabc8234002a20",8,"C0035",2,0.1,"M","Sodium acetate trihydrate",5
"71","4f15c1c0eeaabc8234002a21",8,"C0036",1,1.07,"M","Ammonium phosphate dibasic",9
"72","4f15c1c0eeaabc8234002a21",8,"C0036",2,0.1,"M","TAPS",9
"73","4f15c1c0eeaabc8234002a22",8,"C0037",1,3.42,"M","Ammonium sulfate",4.2
"74","4f15c1c0eeaabc8234002a22",8,"C0037",2,0.1,"M","Sodium citrate tribasic dihydrate",4.2
"75","4f15c1c0eeaabc8234002a23",8,"C0038",1,3.42,"M","Ammonium sulfate",5
"76","4f15c1c0eeaabc8234002a23",8,"C0038",2,0.1,"M","Sodium acetate trihydrate",5
"77","4f15c1c0eeaabc8234002a24",8,"C0039",1,3.42,"M","Ammonium sulfate",7
"78","4f15c1c0eeaabc8234002a24",8,"C0039",2,0.1,"M","Bis-Tris Propane",7
"79","4f15c1c0eeaabc8234002a25",8,"C0040",1,2.28,"M","Ammonium sulfate",7.5
"80","4f15c1c0eeaabc8234002a25",8,"C0040",2,0.1,"M","HEPES",7.5
"81","4f15c1c0eeaabc8234002a26",8,"C0041",1,2.28,"M","Ammonium sulfate",8
"82","4f15c1c0eeaabc8234002a26",8,"C0041",2,0.1,"M","Tris",8
"83","4f15c1c0eeaabc8234002a27",8,"C0042",1,1.14,"M","Ammonium sulfate",6
"84","4f15c1c0eeaabc8234002a27",8,"C0042",2,0.1,"M","MES monohydrate",6
"85","4f15c1c0eeaabc8234002a28",8,"C0043",1,1.14,"M","Ammonium sulfate",9
"86","4f15c1c0eeaabc8234002a28",8,"C0043",2,0.1,"M","TAPS",9
"87","4f15c1c0eeaabc8234002a29",8,"C0044",1,1.14,"M","Ammonium sulfate",10
"88","4f15c1c0eeaabc8234002a29",8,"C0044",2,0.1,"M","CAPS",10
"89","4f15c1c0eeaabc8234002a2a",8,"C0045",1,1.09,"M","Calcium acetate",7
"90","4f15c1c0eeaabc8234002a2a",8,"C0045",2,0.1,"M","Bis-Tris Propane",7
"91","4f15c1c0eeaabc8234002a2b",8,"C0046",1,0.55,"M","Calcium acetate",6
"92","4f15c1c0eeaabc8234002a2b",8,"C0046",2,0.1,"M","MES monohydrate",6
"93","4f15c1c0eeaabc8234002a2c",8,"C0047",1,0.55,"M","Calcium acetate",5
"94","4f15c1c0eeaabc8234002a2c",8,"C0047",2,0.1,"M","Sodium acetate trihydrate",5
"95","4f15c1c0eeaabc8234002a2d",8,"C0048",1,3.57,"M","Calcium chloride dihydrate",5
"96","4f15c1c0eeaabc8234002a2d",8,"C0048",2,0.1,"M","Sodium acetate trihydrate",5
"97","4f15c1c0eeaabc8234002a2e",8,"C0049",1,0.02,"M","Calcium chloride dihydrate",4.6
